time,x,y,vx,vy,omega,linear_velocity,goal_status,attempt_id,goal_x,goal_y,goal_reached_count,collision_count,min_scan_range,plan_update_count,last_plan_update_time
90.191,0.00839430126600555,-0.006052561350739237,-7.055475435159405e-05,1.013633638696023e-05,-0.0017138499011549366,7.12791601869957e-05,IDLE,0,nan,nan,0,0,0.6901873350143433,0,nan
90.226,0.008394678820323052,-0.0060501129162176875,-7.035046530736344e-05,1.0101318367986339e-05,-0.0017089800452914745,7.10719677632044e-05,IDLE,0,nan,nan,0,0,0.6901873350143433,0,nan
90.259,0.008395044787953155,-0.006047743124332373,-7.014946742300833e-05,1.0068425395771359e-05,-0.0017042929025602638,7.086833545160998e-05,IDLE,0,nan,nan,0,0,0.6901873350143433,0,nan
90.297,0.008395410297954434,-0.0060453798583261584,-6.99512111282735e-05,1.003585756021505e-05,-0.001699590559325878,7.06674633426248e-05,IDLE,0,nan,nan,0,0,0.6901873350143433,0,nan
90.326,0.008395786371745657,-0.006042951761009789,-6.974576996607814e-05,1.0004221961075192e-05,-0.0016947709160790802,7.045961173046263e-05,IDLE,0,nan,nan,0,0,0.6901873350143433,0,nan
90.358,0.00839615087306915,-0.006040601675756753,-6.95477195320758e-05,9.981198511730588e-06,-0.0016900961912107077,7.026029900194597e-05,IDLE,0,nan,nan,0,0,0.6850357055664062,0,nan
90.392,0.008396514922276908,-0.0060382580564553815,-6.934977263406604e-05,9.958293929246866e-06,-0.0016854308223520568,7.006110606019526e-05,IDLE,0,nan,nan,0,0,0.6850357055664062,0,nan
90.426,0.008396889542978592,-0.006035850194344781,-6.914522077794037e-05,9.935971212975904e-06,-0.0016806392114998288,6.985545848661508e-05,IDLE,0,nan,nan,0,0,0.6850357055664062,0,nan
90.459,0.00839725269325852,-0.00603351973941238,-6.894682197205673e-05,9.913759629614314e-06,-0.0016759959811210505,6.965591783933548e-05,IDLE,0,nan,nan,0,0,0.6850357055664062,0,nan
90.492,0.008397615399515385,-0.0060311957517513405,-6.87493769349558e-05,9.892086238711201e-06,-0.001671364743534432,6.945739844752848e-05,IDLE,0,nan,nan,0,0,0.6850357055664062,0,nan
90.526,0.008397988633971364,-0.006028808074558946,-6.854641115909975e-05,9.870024819760032e-06,-0.0016666013619757135,6.925336001043583e-05,IDLE,0,nan,nan,0,0,0.6850357055664062,0,nan
90.559,0.008398350894068637,-0.006026497188231976,-6.835116091209548e-05,9.887524256519238e-06,-0.0016619573868853468,6.906261169369737e-05,IDLE,0,nan,nan,0,0,0.6888133883476257,0,nan
90.592,0.00839871306049325,-0.006024192445409671,-6.816350615741706e-05,9.872188336667257e-06,-0.001657355667766114,6.887469545650901e-05,IDLE,0,nan,nan,0,0,0.6888133883476257,0,nan
